TURN,1,2,3,4,5,6,7,8,9,10,11,12,
1,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,4,4,4,4,4,4,4,4,0,0,
11,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,2,2,2,2,0,0,
25,0,0,0,0,0,0,0,0,0,5,0,0,
26,0,0,0,0,0,0,2,2,6,6,0,0,
27,0,0,0,0,0,1,1,1,1,2,0,0,
28,5,5,5,5,6,6,6,6,6,6,0,0,
29,0,0,0,1,1,1,1,1,1,6,0,0,
30,1,1,6,6,6,6,6,6,6,6,0,0,
31,0,1,1,6,6,6,6,6,6,6,0,0,
32,1,1,5,5,5,5,5,5,5,5,0,0,
33,1,5,5,5,5,5,5,5,5,5,0,0,
34,1,2,2,2,2,3,3,3,3,3,0,0,
35,2,2,2,2,2,2,2,2,2,2,0,0,
36,2,2,2,2,2,2,2,2,2,2,0,0,
37,2,2,2,2,2,2,2,2,2,2,0,0,
38,1,2,2,2,2,2,2,2,2,2,0,0,
39,0,0,1,1,1,1,1,1,1,1,0,0,
40,0,1,1,1,1,1,1,1,1,1,0,0,
41,1,1,1,1,1,1,1,1,1,1,0,0,
42,1,1,1,1,1,1,1,1,1,1,0,0,
